사용일자,노선명,역ID,역명,승차총승객수,하차총승객수,등록일자
20180601,경부선,1716,병점,20532,19798,20180604
20180601,경부선,1715,세류,4855,4547,20180604
20180601,경부선,1714,독산,19931,20756,20180604
20180601,경부선,1713,수원,53823,57988,20180604
20180601,경부선,1712,화서,10260,10196,20180604
20180601,경부선,1711,성균관대,20696,19344,20180604
20180601,경부선,1710,의왕,11482,10676,20180604
20180601,경부선,1709,군포,9015,8811,20180604
20180601,경부선,1708,금정,33462,33543,20180604
20180601,경부선,1707,명학,12599,12390,20180604
20180601,경부선,1706,안양,34044,34589,20180604
20180601,경부선,1705,관악,10206,9321,20180604
20180601,경부선,1704,석수,14272,12356,20180604
20180601,경부선,1703,금천구청,13662,13119,20180604
20180601,경부선,1702,가산디지털단지,20330,23821,20180604
20180601,경부선,1701,구로,24780,26320,20180604
20180601,경부선,1032,신길,12134,9846,20180604
20180601,경부선,1007,신도림,4727,4813,20180604
20180601,경부선,1006,영등포,53543,57193,20180604
20180601,경부선,1005,대방,18483,18405,20180604
20180601,경부선,1004,노량진,15577,14781,20180604
20180601,경부선,1003,용산,48134,48418,20180604
20180601,경부선,1002,남영,14244,15165,20180604
20180601,경부선,1001,서울,8534,1347,20180604
20180601,4호선,434,남태령,4885,1406,20180604
20180601,4호선,433,사당,34230,30551,20180604
20180601,4호선,432,총신대입구(이수),26209,29781,20180604
20180601,4호선,431,동작(현충원),3092,3367,20180604
20180601,4호선,430,이촌(국립중앙박물관),10565,11894,20180604
20180601,4호선,429,신용산,19238,19932,20180604
20180601,4호선,428,삼각지,5773,6737,20180604
20180601,4호선,427,숙대입구(갈월),21216,20877,20180604
20180601,4호선,426,서울,16488,26587,20180604
20180601,4호선,425,회현(남대문시장),36968,39333,20180604
20180601,4호선,424,명동,42143,45622,20180604
20180601,4호선,423,충무로,40356,41129,20180604
20180601,4호선,422,동대문역사문화공원,26154,24112,20180604
20180601,4호선,421,동대문,30179,30499,20180604
20180601,4호선,420,혜화,47888,49632,20180604
20180601,4호선,419,한성대입구(삼선교),21304,20004,20180604
20180601,4호선,418,성신여대입구(돈암),30590,29324,20180604
20180601,중앙선,1216,오빈,346,353,20180604
20180601,중앙선,1217,양평,3730,3893,20180604
20180601,중앙선,1218,원덕,475,497,20180604
20180601,중앙선,1219,용문,2731,2976,20180604
20180601,중앙선,1220,지평,70,64,20180604
20180601,장항선,1401,봉명,1642,1678,20180604
20180601,장항선,1402,쌍용(나사렛대),3607,2858,20180604
20180601,장항선,1403,아산,4130,3510,20180604
20180601,장항선,1405,배방,1278,1172,20180604
20180601,장항선,1407,온양온천,4939,5267,20180604
20180601,장항선,1408,신창(순천향대),4540,2530,20180604
20180601,경의선,1251,서울,3700,5288,20180604
20180601,경의선,1252,신촌,1030,1445,20180604
20180601,경의선,1261,효창공원앞,3149,3350,20180604
20180601,경의선,1262,공덕,3846,3417,20180604
20180601,경의선,1263,서강대,2647,2682,20180604
20180601,경의선,1264,홍대입구,2034,2550,20180604
20180601,경의선,1265,가좌,6196,5570,20180604
20180601,경의선,1266,디지털미디어시티,2568,2401,20180604
20180601,경의선,1267,수색,2920,2852,20180604
20180601,경의선,1268,화전,3614,3168,20180604
20180601,경의선,1269,강매,3450,2956,20180604
20180601,경의선,1270,행신,9661,9301,20180604
20180601,경의선,1271,능곡,4506,4053,20180604
20180601,경의선,1272,곡산,688,689,20180604
20180601,경의선,1273,백마,8238,7697,20180604
20180601,경의선,1274,풍산,5797,5273,20180604
20180601,경의선,1275,일산,11571,11630,20180604
20180601,경의선,1276,탄현,8800,8514,20180604
20180601,경의선,1277,야당,5588,5185,20180604
20180601,경의선,1278,운정,6734,6334,20180604
20180601,경의선,1279,금릉,5748,5862,20180604
20180601,경의선,1280,금촌,8756,8456,20180604
20180601,경의선,1282,월롱,3607,2884,20180604
20180601,경의선,1283,파주,2586,1642,20180604
20180601,경의선,1284,문산,7387,7152,20180604
20180601,경의선,1291,서울,1,0,20180604
20180601,경의선,1295,김포공항,2,0,20180604
20180601,경의선,1297,검암,1,0,20180604
20180601,경춘선,1311,신내,932,1011,20180604
20180601,경춘선,1312,갈매,2781,2492,20180604
20180601,경춘선,1313,별내,2955,2899,20180604
20180601,경춘선,1314,퇴계원,4251,3911,20180604
20180601,경춘선,1315,사릉,4412,4253,20180604
20180601,경춘선,1316,금곡,1837,1840,20180604
20180601,경춘선,1317,평내호평,7098,7024,20180604
20180601,경춘선,1318,천마산,1861,1653,20180604
20180601,경춘선,1319,마석,4562,4654,20180604
20180601,경춘선,1320,대성리,913,1243,20180604
20180601,경춘선,1321,청평,2213,2420,20180604
20180601,경춘선,1322,상천,369,357,20180604
20180601,경춘선,1323,가평,2223,2613,20180604
20180601,경춘선,1324,굴봉산,182,227,20180604
20180601,경춘선,1325,백양리,193,158,20180604
20180601,경춘선,1326,강촌,628,650,20180604
20180601,경춘선,1327,김유정,422,491,20180604
20180601,경춘선,1328,남춘천,4252,3348,20180604
20180601,경춘선,1329,춘천,3055,2043,20180604
20180601,수인선,1878,달월,143,104,20180604
20180601,수인선,1879,월곶,3224,3050,20180604
20180601,수인선,1880,소래포구,6509,6147,20180604
20180601,수인선,1881,인천논현,7469,7730,20180604
20180601,수인선,1882,호구포,4426,4382,20180604
20180601,수인선,1883,남동인더스파크,2494,2782,20180604
20180601,수인선,1884,원인재,5724,5894,20180604
20180601,수인선,1885,연수,6295,6217,20180604
20180601,수인선,1886,송도,3636,3456,20180604
20180601,수인선,1888,인하대,8037,7417,20180604
20180601,수인선,1889,숭의,4267,3934,20180604
20180601,수인선,1890,신포,2403,2465,20180604
20180601,6호선,2634,약수,4581,4608,20180604
20180601,6호선,2635,청구,4662,5089,20180604
20180601,6호선,2636,신당,10867,10576,20180604
20180601,6호선,2637,동묘앞,10409,11095,20180604
20180601,6호선,2638,창신,4541,3718,20180604
20180601,6호선,2639,보문,9358,8152,20180604
20180601,6호선,2640,안암(고대병원앞),17644,16973,20180604
20180601,6호선,2641,고려대(종암),11388,10900,20180604
20180601,6호선,2642,월곡(동덕여대),15957,14881,20180604
20180601,6호선,2643,상월곡(한국과학기술연구원),7884,7228,20180604
20180601,6호선,2644,돌곶이,10677,9648,20180604
20180601,6호선,2645,석계,15888,15781,20180604
20180601,6호선,2646,태릉입구,6859,8249,20180604
20180601,6호선,2647,화랑대(서울여대입구),16389,11937,20180604
20180601,6호선,2648,봉화산(서울의료원),11762,10654,20180604
20180601,7호선,2711,장암,3085,1167,20180604
20180601,7호선,2712,도봉산,11312,13316,20180604
20180601,7호선,2713,수락산,15858,15047,20180604
20180601,7호선,2714,마들,14740,13369,20180604
20180601,7호선,2715,노원,24553,27277,20180604
20180601,7호선,2716,중계,18877,17074,20180604
20180601,7호선,2717,하계,23792,22007,20180604
20180601,7호선,2718,공릉(서울과학기술대),16198,15613,20180604
