구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
공중화장실,가락시장,서울특별시송파구송파대로지하257,서울특별시송파구송파대로지하257,N,12,7,1,0,1,0,16,1,1,서울교통공사,02-6311-8171,05:00~01:00,16-Nov,37.495002,127.110205,2018-02-28
공중화장실,가락시장(게이트내),서울특별시송파구송파대로지하257,서울특별시송파구가락동298번지,N,1,1,0,0,0,1,8,0,3,서울교통공사,02-6110-3501,05:00~01:00,10-Jan,37.492898,127.118058,2018-02-28
공중화장실,가락시장(게이트외),서울특별시송파구송파대로지하257,서울특별시송파구가락동298번지,N,3,3,2,0,0,1,11,2,3,서울교통공사,02-6110-3501,05:00~01:00,10-Jan,37.492898,127.118058,2018-02-28
공중화장실,가산디지털단지,서울특별시금천구벚꽃로309,서울특별시금천구벚꽃로309,N,8,5,1,0,0,0,7,1,0,서울교통공사,02-6311-7461,05:00~01:00,Apr-00,37.479597,126.879888,2018-02-28
공중화장실,강동,서울특별시강동구천호대로지하1097,서울특별시강동구천호대로지하1097,N,13,8,1,0,1,0,13,1,1,서울교통공사,02-6311-5481,05:00~01:00,12-Oct,37.53594,127.1299,2018-02-28
공중화장실,강남,서울특별시강남구강남대로지하396,서울특별시강남구역삼동821-1,N,4,3,2,0,0,1,8,2,0,서울교통공사,02-6110-2221,05:00~01:00,09-Jan,37.498128,127.028303,2018-02-28
공중화장실,강남구청,서울특별시강남구학동로지하346,서울특별시강남구학동로지하346,N,8,5,1,0,0,0,5,1,0,서울교통공사,02-6311-7301,05:00~01:00,01-Feb,37.517473,127.03898,2018-02-28
공중화장실,강동구청,서울특별시강동구올림픽로지하550,서울특별시강동구올림픽로지하550,N,9,6,1,0,0,0,7,1,0,서울교통공사,02-6311-8121,05:00~01:00,Aug-99,37.538374,127.115484,2018-02-28
공중화장실,강변,서울특별시광진구강변역로53,서울특별시광진구구의3동546-6,N,5,5,2,0,1,1,14,2,1,서울교통공사,02-6110-2141,05:00~01:00,09-Jan,37.535421,127.094533,2018-02-28
공중화장실,개롱,서울특별시송파구오금로지하402,서울특별시송파구오금로지하402,N,6,3,1,0,1,0,6,1,1,서울교통공사,02-6311-5581,05:00~01:00,13-Oct,37.498162,127.132471,2018-02-28
공중화장실,개화산,서울특별시강서구양천로22,서울특별시강서구양천로22,N,5,3,1,1,1,0,5,1,1,서울교통공사,02-6311-5111,05:00~01:00,15-Dec,37.572455,126.80465,2018-02-28
공중화장실,거여,서울특별시송파구오금로지하499,서울특별시송파구오금로지하499,N,6,3,1,0,1,0,6,1,1,서울교통공사,02-6311-5591,05:00~01:00,13-Oct,37.494249,127.13979,2018-02-28
공중화장실,건대입구,서울특별시광진구아차산로243,서울특별시광진구화양동7-3,N,8,10,2,0,1,1,21,2,1,서울교통공사,02-6110-2121,05:00~01:00,09-Jan,37.540749,127.069001,2018-02-28
공중화장실,건대입구,서울특별시광진구능동로지하110,서울특별시광진구능동로지하110,N,12,7,1,0,1,0,12,1,1,서울교통공사,02-6311-7271,05:00~01:00,13-Oct,37.540389,127.067047,2018-02-28
공중화장실,경복궁,서울특별시종로구사직로지하130,서울특별시종로구적선동81-1,N,6,6,1,0,0,0,6,1,0,서울교통공사,02-6110-3271,05:00~01:00,Jan-00,37.57582,126.973058,2018-02-28
공중화장실,경찰병원(게이트내),서울특별시송파구중대로지하149,서울특별시송파구가락본동58번지,N,3,2,0,0,1,1,4,0,1,서울교통공사,02-6110-3511,05:00~01:00,10-Jan,37.498322,127.125676,2018-02-28
공중화장실,경찰병원(게이트외),서울특별시송파구중대로지하149,서울특별시송파구가락본동58번지,N,3,3,2,0,0,1,13,2,2,서울교통공사,02-6110-3511,05:00~01:00,10-Jan,37.498322,127.125676,2018-02-28
공중화장실,고덕,서울특별시강동구고덕로지하253,서울특별시강동구고덕로지하253,N,6,3,1,0,1,0,6,1,1,서울교통공사,02-6311-5521,05:00~01:00,12-Oct,37.555051,127.151921,2018-02-28
공중화장실,고려대,서울특별시성북구종암로지하1,서울특별시성북구종암로지하1,N,7,3,0,0,0,0,7,0,0,서울교통공사,02-6311-6401,05:00~01:00,17-Jul,37.590401,127.03367,2018-02-28
공중화장실,고속터미널,서울특별시서초구신반포로지하188,서울특별시서초구신반포로지하188,N,7,5,1,0,0,0,6,1,0,서울교통공사,02-6311-7341,05:00~01:00,01-Jan,37.504914,127.002726,2018-02-28
공중화장실,공릉,서울특별시노원구동일로지하1074,서울특별시노원구동일로지하1074,N,6,3,1,0,1,0,6,1,1,서울교통공사,02-6311-7161,05:00~01:00,10-Nov,37.625787,127.070705,2018-02-28
공중화장실,공덕(5),서울특별시마포구마포대로지하100,서울특별시마포구마포대로지하100,N,8,5,1,0,0,0,8,1,0,서울교통공사,02-6311-5291,05:00~01:00,07-Sep,37.54322,126.949387,2018-02-28
공중화장실,공덕(6),서울특별시마포구백범로지하200,서울특별시마포구백범로지하200,N,8,5,1,0,0,0,5,1,0,서울교통공사,02-6311-5291,05:00~01:00,01-Jun,37.54322,126.949387,2018-02-28
공중화장실,광나루,서울특별시광진구아차산로지하571,서울특별시광진구아차산로지하571,N,11,6,1,0,1,0,13,1,1,서울교통공사,02-6311-5461,05:00~01:00,12-Oct,37.545332,127.101417,2018-02-28
공중화장실,광명사거리,경기도광명시오리로지하980,경기도광명시오리로지하980,N,9,6,1,0,0,0,9,1,0,서울교통공사,02-6311-7481,05:00~01:00,Jan-00,37.479307,126.852486,2018-02-28
공중화장실,광화문,서울특별시종로구세종대로지하172,서울특별시종로구세종대로지하172,N,8,5,1,0,0,0,8,1,0,서울교통공사,02-6311-5331,05:00~01:00,06-Jul,37.568666,126.969794,2018-02-28
공중화장실,광흥창,서울특별시마포구독막로지하165,서울특별시마포구독막로지하165,N,8,4,0,0,0,0,8,0,0,서울교통공사,02-6311-6241,05:00~01:00,17-Jul,37.547478,126.929666,2018-02-28
공중화장실,교대(2),서울특별시서초구서초대로지하294,서울특별시서초구서초1동1715-9,N,5,3,1,0,0,0,9,1,0,서울교통공사,02-6110-2231,05:00~01:00,04-Jan,37.494847,127.017286,2018-02-28
공중화장실,교대(3),서울특별시서초구서초대로지하294,서울특별시서초구서초3동1715-9,N,6,5,2,0,2,1,17,2,3,서울교통공사,02-6110-3401,05:00~01:00,09-Jan,37.494847,127.017286,2018-02-28
공중화장실,구산,서울특별시은평구연서로지하137-1,서울특별시은평구연서로지하137-1,N,9,7,1,0,0,0,4,1,0,서울교통공사,02-6311-6151,05:00~01:00,01-Mar,37.611025,126.915399,2018-02-28
공중화장실,구로디지털단지,서울특별시구로구도림천로477,서울특별시구로구구로3동810-3,N,3,5,2,0,0,1,9,2,0,서울교통공사,02-6110-2321,05:00~01:00,09-Jan,37.485127,126.901529,2018-02-28
공중화장실,구의,서울특별시광진구아차산로384-1,서울특별시광진구구의동245-24,N,3,2,2,0,0,1,7,2,1,서울교통공사,02-6110-2131,05:00~01:00,08-Jan,37.538283,127.090755,2018-02-28
공중화장실,구파발,서울특별시은평구진관2로지하15-25,서울특별시은평구진관내동533,N,4,4,2,0,1,1,9,2,2,서울교통공사,02-6110-3201,05:00~01:00,10-Jan,37.637537,126.918588,2018-02-28
